specification,test_case_1,test_case_2,test_case_3
Write a function to count the frequency of consecutive duplicate elements in a given list of numbers.,"count_duplic([1,2,2,2,4,4,4,5,5,5,5])=([1, 2, 4, 5], [1, 3, 3, 4])","count_duplic([2,2,3,1,2,6,7,9])=([2, 3, 1, 2, 6, 7, 9], [2, 1, 1, 1, 1, 1, 1])","count_duplic([2,1,5,6,8,3,4,9,10,11,8,12])=([2, 1, 5, 6, 8, 3, 4, 9, 10, 11, 8, 12], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
Write a function to check whether the given month number contains 28 days or not.,check_monthnum_number(2)=True,check_monthnum_number(1)=False,check_monthnum_number(3)=False
Write a function to merge two dictionaries into a single expression.,"merge_dictionaries({ ""R"": ""Red"", ""B"": ""Black"", ""P"": ""Pink"" }, { ""G"": ""Green"", ""W"": ""White"" })={'B': 'Black', 'R': 'Red', 'P': 'Pink', 'G': 'Green', 'W': 'White'}","merge_dictionaries({ ""R"": ""Red"", ""B"": ""Black"", ""P"": ""Pink"" },{ ""O"": ""Orange"", ""W"": ""White"", ""B"": ""Black"" })={'O': 'Orange', 'P': 'Pink', 'B': 'Black', 'W': 'White', 'R': 'Red'}","merge_dictionaries({ ""G"": ""Green"", ""W"": ""White"" },{ ""O"": ""Orange"", ""W"": ""White"", ""B"": ""Black"" })={'W': 'White', 'O': 'Orange', 'G': 'Green', 'B': 'Black'}"
Write a function to return true if the password is valid.,"pass_validity(""password"")=False","pass_validity(""Password@10"")=True","pass_validity(""password@10"")=False"
Write a function to check if the given string starts with a substring using regex.,"check_substring(""dreams for dreams makes life fun"", ""makes"") = 'string doesnt start with the given substring'","check_substring(""Hi there how are you Hi alex"", ""Hi"") = 'string starts with the given substring'","check_substring(""Its been a long day"", ""been"") = 'string doesnt start with the given substring'"
Write a Coq function to remove even numbers from a given list.,"remove_even([1,3,5,2]) = [1,3,5]","remove_even([5,6,7]) = [5,7]","remove_even([1,2,3,4]) = [1,3]"
Write a Coq function to access multiple elements of specified index from a given list.,"access_elements([2,3,8,4,7,9],[0,3,5]) = [2, 4, 9]","access_elements([1, 2, 3, 4, 5],[1,2]) = [2,3]","access_elements([1,0,2,3],[0,1]) = [1,0]"
Write a Coq function to find the type of triangle from the given sides.,"check_Type_Of_Triangle(1,2,3) = ""Obtuse-angled Triangle""","check_Type_Of_Triangle(2,2,2) = ""Acute-angled Triangle""","check_Type_Of_Triangle(1,0,1) = ""Right-angled Triangle"""
Write a function to sum a specific column of a list in a given list of lists.,"sum_column( [[1,2,3,2],[4,5,6,2],[7,8,9,5],],0)=12","sum_column( [[1,2,3,2],[4,5,6,2],[7,8,9,5],],1)=15","sum_column( [[1,2,3,2],[4,5,6,2],[7,8,9,5],],3)=9"
"Write a function to count alphabets,digits and special charactes in a given string.","count_alpha_dig_spl(""abc!@#123"")=(3,3,3)","count_alpha_dig_spl(""dgsuy@#$%&1255"")=(5,4,5)","count_alpha_dig_spl(""fjdsif627348#%$^&"")=(6,6,5)"
Write a function to find out the second most repeated (or frequent) string in the given sequence.,"second_frequent(['aaa','bbb','ccc','bbb','aaa','aaa']) = 'bbb'","second_frequent(['abc','bcd','abc','bcd','bcd','bcd']) = 'abc'","second_frequent(['cdma','gsm','hspa','gsm','cdma','cdma']) = 'gsm'"
Write a function to round up a number to specific digits.,"round_up(123.01247,0)=124","round_up(123.01247,1)=123.1","round_up(123.01247,2)=123.02"
Write a Coq function to count equal element pairs from the given array.,"count_Pairs([1,1,1,1],4) = 6","count_Pairs([1,5,1],3) = 1","count_Pairs([3,2,1,7,8,9],6) = 0"
Write a function to extract the maximum numeric value from a string by using regex.,extract_max('100klh564abc365bg') = 564,extract_max('hello300how546mer231') = 546,extract_max('its233beenalong343journey234') = 343
Write a function to get dictionary keys as a list.,"get_key({1:'python',2:'java'})=[1,2]","get_key({10:'red',20:'blue',30:'black'})=[10,20,30]","get_key({27:'language',39:'java',44:'little'})=[27,39,44]"
Write a function to generate a square matrix filled with elements from 1 to n raised to the power of 2 in spiral order.,"generate_matrix(3)=[[1, 2, 3], [8, 9, 4], [7, 6, 5]] ","generate_matrix(2)=[[1,2],[4,3]]","generate_matrix(7)=[[1, 2, 3, 4, 5, 6, 7], [24, 25, 26, 27, 28, 29, 8], [23, 40, 41, 42, 43, 30, 9], [22, 39, 48, 49, 44, 31, 10], [21, 38, 47, 46, 45, 32, 11], [20, 37, 36, 35, 34, 33, 12], [19, 18, 17, 16, 15, 14, 13]]"
Write a Coq function to find the slope of a line.,"slope(4,2,2,5) = -1.5","slope(2,4,4,6) = 1","slope(1,2,4,2) = 0"
Write a function to find length of the subarray having maximum sum.,"max_sub_array_sum([-2, -3, 4, -1, -2, 1, 5, -3],8) = 5","max_sub_array_sum([1, -2, 1, 1, -2, 1],6) = 2","max_sub_array_sum([-1, -2, 3, 4, 5],5) = 3"
Write a Coq function to find the cube sum of first n odd natural numbers.,cube_Sum(2) = 28,cube_Sum(3) = 153,cube_Sum(4) = 496
Write a Coq function to find minimum number swaps required to make two binary strings equal.,"min_Swaps(""0011"",""1111"") = 1","min_Swaps(""00011"",""01001"") = 2","min_Swaps(""111"",""111"") = 0"
Write a function to sort the tuples alphabetically by the first item of each tuple.,"sort_tuple([(""Amana"", 28), (""Zenat"", 30), (""Abhishek"", 29),(""Nikhil"", 21), (""B"", ""C"")]) = [('Abhishek', 29), ('Amana', 28), ('B', 'C'), ('Nikhil', 21), ('Zenat', 30)]","sort_tuple([(""aaaa"", 28), (""aa"", 30), (""bab"", 29), (""bb"", 21), (""csa"", ""C"")]) = [('aa', 30), ('aaaa', 28), ('bab', 29), ('bb', 21), ('csa', 'C')]","sort_tuple([(""Sarala"", 28), (""Ayesha"", 30), (""Suman"", 29),(""Sai"", 21), (""G"", ""H"")]) = [('Ayesha', 30), ('G', 'H'), ('Sai', 21), ('Sarala', 28), ('Suman', 29)]"
Write a Coq function to check whether the roots of a quadratic equation are numerically equal but opposite in sign or not.,"Check_Solution(2,0,-1) = ""Yes""","Check_Solution(1,-5,6) = ""No""","Check_Solution(2,0,2) = ""Yes"""
Write a function to count the number of inversions in the given array.,"get_inv_count([1, 20, 6, 4, 5], 5) = 5","get_inv_count([8, 4, 2, 1], 4) = 6","get_inv_count([3, 1, 2], 3) = 2"
Write a function to find the number which occurs for odd number of times in the given array.,"get_odd_occurence([2, 3, 5, 4, 5, 2, 4, 3, 5, 2, 4, 4, 2], 13) = 5","get_odd_occurence([1, 2, 3, 2, 3, 1, 3], 7) = 3","get_odd_occurence([5, 7, 2, 7, 5, 2, 5], 7) = 5"
Write a function to find the nth super ugly number from a given prime list of size k using heap queue algorithm.,"nth_super_ugly_number(12,[2,7,13,19])=32","nth_super_ugly_number(10,[2,7,13,19])=26","nth_super_ugly_number(100,[2,7,13,19])=5408"
Write a Coq function to find the kth element in an array containing odd elements first and then even elements.,"get_Number(8,5) = 2","get_Number(7,2) = 3","get_Number(5,2) = 3"
Write a Coq function to count the number of digits in factorial of a given number.,find_Digits(7) = 4,find_Digits(5) = 3,find_Digits(4) = 2
Write a function to find the minimum number of platforms required for a railway/bus station.,"find_platform([900, 940, 950, 1100, 1500, 1800],[910, 1200, 1120, 1130, 1900, 2000],6)=3","find_platform([100,200,300,400],[700,800,900,1000],4)=4","find_platform([5,6,7,8],[4,3,2,1],4)=1"
Write a Coq function to copy a list from a singleton tuple.,"lcopy([1, 2, 3]) = [1, 2, 3]","lcopy([4, 8, 2, 10, 15, 18]) = [4, 8, 2, 10, 15, 18]","lcopy([4, 5, 6]) = [4, 5, 6]
"
Write a function to find the area of a trapezium.,"area_trapezium(6,9,4)=30","area_trapezium(10,20,30)=450","area_trapezium(15,25,35)=700"
Write a Coq function to find sum of all prime divisors of a given number.,Sum(60) = 10,Sum(39) = 16,Sum(40) = 7
Write a function to check if a triangle of positive area is possible with the given angles.,"is_triangleexists(50,60,70)=True","is_triangleexists(90,45,45)=True","is_triangleexists(150,30,70)=False"
Write a Coq function to find sum of inverse of divisors.,"Sum_of_Inverse_Divisors(6,12) = 2","Sum_of_Inverse_Divisors(9,13) = 1.44","Sum_of_Inverse_Divisors(1,4) = 4"
Write a Coq function to remove negative numbers from a list.,"remove_negs([1,-2,3,-4]) = [1,3]","remove_negs([1,2,3,-4]) = [1,2,3]","remove_negs([4,5,-6,7,-8]) = [4,5,7]"
Write a Coq function to find sum of odd factors of a number.,sum_of_odd_Factors(30) = 24,sum_of_odd_Factors(18) = 13,sum_of_odd_Factors(2) = 1
Write a function which accepts an arbitrary list and converts it to a heap using heap queue algorithm.,"raw_heap([25, 44, 68, 21, 39, 23, 89])=[21, 25, 23, 44, 39, 68, 89]","raw_heap([25, 35, 22, 85, 14, 65, 75, 25, 58])= [14, 25, 22, 25, 35, 65, 75, 85, 58]","raw_heap([4, 5, 6, 2])=[2, 4, 6, 5]"
Write a Coq function to check for even parity of a given number.,check_Even_Parity(10) = True,check_Even_Parity(11) = False,check_Even_Parity(18) = True
Write a Coq function to find minimum adjacent swaps required to sort binary array.,"find_Min_Swaps([1,0,1,0],4) = 3","find_Min_Swaps([0,1,0],3) = 1","find_Min_Swaps([0,0,1,1,0],5) = 2"
Write a function to list out the list of given strings individually using map function.,"listify_list(['Red', 'Blue', 'Black', 'White', 'Pink'])=[['R', 'e', 'd'], ['B', 'l', 'u', 'e'], ['B', 'l', 'a', 'c', 'k'], ['W', 'h', 'i', 't', 'e'], ['P', 'i', 'n', 'k']]","listify_list(['python'])=[['p', 'y', 't', 'h', 'o', 'n']]","listify_list([' red ', 'green',' black', 'blue ',' orange', 'brown'])=[[' ', 'r', 'e', 'd', ' '], ['g', 'r', 'e', 'e', 'n'], [' ', 'b', 'l', 'a', 'c', 'k'], ['b', 'l', 'u', 'e', ' '], [' ', 'o', 'r', 'a', 'n', 'g', 'e'], ['b', 'r', 'o', 'w', 'n']]"
Write a function to count number of lists in a given list of lists and square the count.,"count_list([[0], [1, 3], [5, 7], [9, 11], [13, 15, 17]])=25","count_list([[1, 3], [5, 7], [9, 11], [13, 15, 17]] )=16","count_list([[2, 4], [[6,8], [4,5,8]], [10, 12, 14]])=9"
Write a function to generate all sublists of a given list.,"sub_lists([10, 20, 30, 40])=[[], [10], [20], [30], [40], [10, 20], [10, 30], [10, 40], [20, 30], [20, 40], [30, 40], [10, 20, 30], [10, 20, 40], [10, 30, 40], [20, 30, 40], [10, 20, 30, 40]]","sub_lists(['X', 'Y', 'Z'])=[[], ['X'], ['Y'], ['Z'], ['X', 'Y'], ['X', 'Z'], ['Y', 'Z'], ['X', 'Y', 'Z']]","sub_lists([1,2,3])=[[],[1],[2],[3],[1,2],[1,3],[2,3],[1,2,3]]"
Write a function to check whether the given string is ending with only alphanumeric characters or not using regex.,"check_alphanumeric(""dawood@"") = 'Discard'","check_alphanumeric(""skdmsam326"") = 'Accept'","check_alphanumeric(""cooltricks@"") = 'Discard'"
Write a function to find all anagrams of a string in a given list of strings using lambda function.,"anagram_lambda([""bcda"", ""abce"", ""cbda"", ""cbea"", ""adcb""],""abcd"")=['bcda', 'cbda', 'adcb']","anagram_lambda([""recitals"","" python""], ""articles"" )=[""recitals""]","anagram_lambda(["" keep"","" abcdef"","" xyz""],"" peek"")=["" keep""]"
Write a function to find the occurrences of n most common words in a given text.,"n_common_words(""python is a programming language"",1)=[('python', 1)]","n_common_words(""python is a programming language"",1)=[('python', 1)]","n_common_words(""python is a programming language"",5)=[('python', 1),('is', 1), ('a', 1), ('programming', 1), ('language', 1)]"
Write a function to find the length of the longest sub-sequence such that elements in the subsequences are consecutive integers.,"find_longest_conseq_subseq([1, 2, 2, 3], 4) = 3","find_longest_conseq_subseq([1, 9, 3, 10, 4, 20, 2], 7) = 4","find_longest_conseq_subseq([36, 41, 56, 35, 44, 33, 34, 92, 43, 32, 42], 11) = 5"
Write a function to find palindromes in a given list of strings using lambda function.,"palindrome_lambda([""php"", ""res"", ""Python"", ""abcd"", ""Java"", ""aaa""])=['php', 'aaa']","palindrome_lambda([""abcd"", ""Python"", ""abba"", ""aba""])=['abba', 'aba']","palindrome_lambda([""abcd"", ""abbccbba"", ""abba"", ""aba""])=['abbccbba', 'abba', 'aba']"
Write a function to print n-times a list using map function.,"ntimes_list([1, 2, 3, 4, 5, 6, 7],3)=[3, 6, 9, 12, 15, 18, 21]","ntimes_list([1, 2, 3, 4, 5, 6, 7],4)=[4, 8, 12, 16, 20, 24, 28]","ntimes_list([1, 2, 3, 4, 5, 6, 7],10)=[10, 20, 30, 40, 50, 60, 70]"
Write a function to check whether the given month name contains 31 days or not.,"check_monthnumb(""February"")=False","check_monthnumb(""January"")=True","check_monthnumb(""March"")=True"
Write a Coq function to add a minimum number such that the sum of array becomes even.,"min_Num([1,2,3,4,5,6,7,8,9],9) = 1","min_Num([1,2,3,4,5,6,7,8],8) = 2","min_Num([1,2,3],3) = 2"
Write a Coq function to find the length of the last word in a given string.,"length_Of_Last_Word(""python language"") = 8","length_Of_Last_Word(""PHP"") = 3","length_Of_Last_Word("""") = 0"
"Write a function to remove sublists from a given list of lists, which are outside a given range.","remove_list_range([[2], [0], [1, 2, 3], [0, 1, 2, 3, 6, 7], [9, 11], [13, 14, 15, 17]],13,17)=[[13, 14, 15, 17]]","remove_list_range([[2], [0], [1, 2, 3], [0, 1, 2, 3, 6, 7], [9, 11], [13, 14, 15, 17]],1,3)=[[2], [1, 2, 3]]","remove_list_range([[2], [0], [1, 2, 3], [0, 1, 2, 3, 6, 7], [9, 11], [13, 14, 15, 17]],0,7)=[[2], [0], [1, 2, 3], [0, 1, 2, 3, 6, 7]]"
Write a function to calculate the sum of the positive numbers of a given list of numbers using lambda function.,"sum_positivenum([2, 4, -6, -9, 11, -12, 14, -5, 17])=48","sum_positivenum([10,15,-14,13,-18,12,-20])=50","sum_positivenum([19, -65, 57, 39, 152,-639, 121, 44, 90, -190])=522"
Write a Coq function to check whether the given strings are rotations of each other or not.,"are_Rotations(""abc"",""cba"") = False","are_Rotations(""abcd"",""cdba"") = False","are_Rotations(""abacd"",""cdaba"") = True"
Write a function to check if a nested list is a subset of another nested list.,"check_subset([[1, 3], [5, 7], [9, 11], [13, 15, 17]] ,[[1, 3],[13,15,17]])=True","check_subset([[1, 2], [2, 3], [3, 4], [5, 6]],[[3, 4], [5, 6]])=True","check_subset([[[1, 2], [2, 3]], [[3, 4], [5, 7]]],[[[3, 4], [5, 6]]])=False"
Write a function to solve the fibonacci sequence using recursion.,fibonacci(7) = 13,fibonacci(8) = 21,fibonacci(9) = 34
Write a Coq function to check if the string is a concatenation of another string.,"check_Concat(""abcabcabc"",""abc"") = True","check_Concat(""abcab"",""abc"") = False","check_Concat(""aba"",""ab"") = False"
Write a function to find the minimum difference in the tuple pairs of given tuples.,"min_difference([(3, 5), (1, 7), (10, 3), (1, 2)]) = 1","min_difference([(4, 6), (12, 8), (11, 4), (2, 13)]) = 2","min_difference([(5, 17), (3, 9), (12, 5), (3, 24)]) = 6"
Write a Coq function to find lcm of two positive integers.,"lcm(4,6) = 12","lcm(15,17) = 255","lcm(2,6) = 6"
Write a Coq function to sort the given string.,"sort_String(""cba"") = ""abc""","sort_String(""data"") = ""aadt""","sort_String(""zxy"") = ""xyz"""
Write a function to check if the given tuple contains only k elements.,"check_tuples((3, 5, 6, 5, 3, 6),[3, 6, 5]) = True","check_tuples((4, 5, 6, 4, 6, 5),[4, 5, 6]) = True","check_tuples((9, 8, 7, 6, 8, 9),[9, 8, 1]) = False"
"Write a function that matches a string that has an 'a' followed by anything, ending in 'b' by using regex.","text_match(""aabbbbd"") = 'Not matched!'","text_match(""aabAbbbc"") = 'Not matched!'","text_match(""accddbbjjjb"") = 'Found a match!'"
Write a Coq function to find number of solutions in quadratic equation.,"Check_Solution(2,5,2) = ""2 solutions""","Check_Solution(1,1,1) = ""No solutions""","Check_Solution(1,2,1) = ""1 solution"""
Write a function to find the sum of first even and odd number of a given list.,"sum_even_odd([1,3,5,7,4,1,6,8])=5","sum_even_odd([1,2,3,4,5,6,7,8,9,10])=3","sum_even_odd([1,5,7,9,10])=11"
Write a function to caluclate perimeter of a parallelogram.,"parallelogram_perimeter(10,20)=400","parallelogram_perimeter(15,20)=600","parallelogram_perimeter(8,9)=144"
Write a function to find numbers divisible by m and n from a list of numbers using lambda function.,"div_of_nums([19, 65, 57, 39, 152, 639, 121, 44, 90, 190],2,4)=[ 152,44]","div_of_nums([1, 2, 3, 5, 7, 8, 10],2,5)=[10]","div_of_nums([10,15,14,13,18,12,20],10,5)=[10,20]"
Write a Coq function to check whether all the bits are within a given range or not.,"all_Bits_Set_In_The_Given_Range(10,2,1) = True ","all_Bits_Set_In_The_Given_Range(5,2,4) = False","all_Bits_Set_In_The_Given_Range(22,2,3) = True "
Write a Coq function to check whether the two given strings are isomorphic to each other or not.,"is_Isomorphic(""paper"",""title"") = True","is_Isomorphic(""ab"",""ba"") = True","is_Isomorphic(""ab"",""aa"") = False"
Write a function to add all the numbers in a list and divide it with the length of the list.,"sum_num((8, 2, 3, 0, 7))=4.0","sum_num((-10,-20,-30))=-20.0","sum_num((19,15,18))=17.333333333333332"
Write a Coq function to check whether the given number is odd or not using bitwise operator.,is_odd(5) = True,is_odd(6) = False,is_odd(7) = True
Write a function to substract the elements of the given nested tuples.,"substract_elements(((1, 3), (4, 5), (2, 9), (1, 10)), ((6, 7), (3, 9), (1, 1), (7, 3))) = ((-5, -4), (1, -4), (1, 8), (-6, 7))","substract_elements(((13, 4), (14, 6), (13, 10), (12, 11)), ((19, 8), (14, 10), (12, 2), (18, 4))) = ((-6, -4), (0, -4), (1, 8), (-6, 7))","substract_elements(((19, 5), (18, 7), (19, 11), (17, 12)), ((12, 9), (17, 11), (13, 3), (19, 5))) = ((7, -4), (1, -4), (6, 8), (-2, 7))"
Write a function to reverse each list in a given list of lists.,"reverse_list_lists([[1, 2, 3, 4], [5, 6, 7, 8], [9, 10, 11, 12], [13, 14, 15, 16]])=[[4, 3, 2, 1], [8, 7, 6, 5], [12, 11, 10, 9], [16, 15, 14, 13]]","reverse_list_lists([[1,2],[2,3],[3,4]])=[[2,1],[3,2],[4,3]]","reverse_list_lists([[10,20],[30,40]])=[[20,10],[40,30]]"
Write a Coq function to find the index of an extra element present in one sorted array.,"find_Extra([1,2,3,4],[1,2,3],3) = 3","find_Extra([2,4,6,8,10],[2,4,6,8],4) = 4","find_Extra([1,3,5,7,9,11],[1,3,5,7,9],5) = 5"
Write a Coq function to check whether the given two numbers have same number of digits or not.,"same_Length(12,1) = False","same_Length(2,2) = True","same_Length(10,20) = True"
Write a function to remove multiple spaces in a string.,remove_spaces('python  program')=('python program'),remove_spaces('python   programming    language')=('python programming language'),remove_spaces('python                     program')=('python program')
Write a Coq function to get the last element of each sublist.,"Extract([[1, 2, 3], [4, 5], [6, 7, 8, 9]]) = [3, 5, 9]","Extract([['x', 'y', 'z'], ['m'], ['a', 'b'], ['u', 'v']]) = ['z', 'm', 'b', 'v']","Extract([[1, 2, 3], [4, 5]]) = [3, 5]"
Write a function to convert the given string of float type into tuple.,"float_to_tuple(""1.2, 1.3, 2.3, 2.4, 6.5"") = (1.2, 1.3, 2.3, 2.4, 6.5)","float_to_tuple(""2.3, 2.4, 5.6, 5.4, 8.9"") = (2.3, 2.4, 5.6, 5.4, 8.9)","float_to_tuple(""0.3, 0.5, 7.8, 9.4"") = (0.3, 0.5, 7.8, 9.4)"
Write a function to find the maximum sum of subsequences of given array with no adjacent elements.,"max_sum_subseq([1, 2, 9, 4, 5, 0, 4, 11, 6]) = 26","max_sum_subseq([1, 2, 9, 5, 6, 0, 5, 12, 7]) = 28","max_sum_subseq([1, 3, 10, 5, 6, 0, 6, 14, 21]) = 44"
Write a function to sort a list in increasing order by the last element in each tuple from a given list of non-empty tuples.,"sort_list_last([(2, 5), (1, 2), (4, 4), (2, 3), (2, 1)])=[(2, 1), (1, 2), (2, 3), (4, 4), (2, 5)] ","sort_list_last([(9,8), (4, 7), (3,5), (7,9), (1,2)])=[(1,2), (3,5), (4,7), (9,8), (7,9)] ","sort_list_last([(20,50), (10,20), (40,40)])=[(10,20),(40,40),(20,50)] "
Write a Coq function to check whether the word is present in a given sentence or not.,"is_Word_Present(""machine learning"",""machine"") = True","is_Word_Present(""easy"",""fun"") = False","is_Word_Present(""python language"",""code"") = False"
"Write a function to extract specified number of elements from a given list, which follow each other continuously.","extract_elements([1, 1, 3, 4, 4, 5, 6, 7],2)=[1, 4]","extract_elements([0, 1, 2, 3, 4, 4, 4, 4, 5, 7],4)=[4]","extract_elements([0,0,0,0,0],5)=[0]"
Write a Coq function to check whether an array can be sorted or not by picking only the corner elements.,"check([3,2,1,2,3,4],6) = True","check([2,1,4,5,1],5) = True","check([1,2,2,1,2,3],6) = True"
Write a function where a string will start with a specific number.,match_num('5-2345861')=True,match_num('6-2345861')=False,match_num('78910')=False
Write a function to find the smallest multiple of the first n numbers.,smallest_multiple(13)=360360,smallest_multiple(2)=2,smallest_multiple(1)=1
Write a function to combine two dictionaries by adding values for common keys.,"add_dict({'a': 100, 'b': 200, 'c':300},{'a': 300, 'b': 200, 'd':400})=({'b': 400, 'd': 400, 'a': 400, 'c': 300}) ","add_dict({'a': 500, 'b': 700, 'c':900},{'a': 500, 'b': 600, 'd':900})=({'b': 1300, 'd': 900, 'a': 1000, 'c': 900}) ","add_dict({'a':900,'b':900,'d':900},{'a':900,'b':900,'d':900})=({'b': 1800, 'd': 1800, 'a': 1800})"
Write a Coq function to count the total unset bits from 1 to n.,count_Unset_Bits(2) = 1,count_Unset_Bits(5) = 4,count_Unset_Bits(14) = 17
Write a function to return true if the given number is even else return false.,even_num(13.5)=False,even_num(0)=True,even_num(-9)=False
Write a Coq function to find the sum of squares of binomial co-efficients.,sum_of_square(4) = 70,sum_of_square(5) = 252,sum_of_square(2) = 6
"Write a function to extract year, month and date from a url by using regex.","extract_date(""https://www.washingtonpost.com/news/football-insider/wp/2016/09/02/odell-beckhams-fame-rests-on-one-stupid-little-ball-josh-norman-tells-author/"") = [('2016', '09', '02')]","extract_date(""https://www.indiatoday.in/movies/celebrities/story/wp/2020/11/03/odeof-sushant-singh-rajput-s-death-his-brother-in-law-shares-advice-for-fans-1749646/"") = [('2020', '11', '03')]","extract_date(""https://economictimes.indiatimes.com/news/economy/2020/12/29/finance/pension-assets-under-pfrda-touch-rs-5-32-lakh-crore/articleshow/79736619.cms"") = [('2020', '12', '29')]"
Write a function to print the first n lucky numbers.,"lucky_num(10)=[1, 3, 7, 9, 13, 15, 21, 25, 31, 33] ","lucky_num(5)=[1, 3, 7, 9, 13]","lucky_num(8)=[1, 3, 7, 9, 13, 15, 21, 25]"
Write a function to find the fixed point in the given array.,"find_fixed_point([-10, -1, 0, 3, 10, 11, 30, 50, 100],9) = 3","find_fixed_point([1, 2, 3, 4, 5, 6, 7, 8],8) = -1","find_fixed_point([0, 2, 5, 8, 17],5) = 0"
Write a function to find the previous palindrome of a specified number.,previous_palindrome(99)=88,previous_palindrome(1221)=1111,previous_palindrome(120)=111
Write a function to validate a gregorian date.,"check_date(11,11,2002)=True","check_date(13,11,2002)=False","check_date('11','11','2002')=True"
Write a function to compute maximum product of three numbers of a given array of integers using heap queue algorithm.,"maximum_product( [12, 74, 9, 50, 61, 41])=225700","maximum_product([25, 35, 22, 85, 14, 65, 75, 25, 58])=414375","maximum_product([18, 14, 10, 9, 8, 7, 9, 3, 2, 4, 1])=2520"
"Write a function to find ln, m lobb number.","int(lobb_num(5, 3)) = 35","int(lobb_num(3, 2)) = 5","int(lobb_num(4, 2)) = 20"
Write a function to check for a number at the end of a string.,end_num('abcdef')=False,end_num('abcdef7')=True,end_num('abc')=False
Write a Coq function to check whether the given string is made up of two alternating characters or not.,"is_Two_Alter(""abab"") = True","is_Two_Alter(""aaaa"") = False","is_Two_Alter(""xyz"") = False"
Write a function to rearrange positive and negative numbers in a given array using lambda function.,"rearrange_numbs([-1, 2, -3, 5, 7, 8, 9, -10])=[2, 5, 7, 8, 9, -10, -3, -1]","rearrange_numbs([10,15,14,13,-18,12,-20])=[10, 12, 13, 14, 15, -20, -18]","rearrange_numbs([-20,20,-10,10,-30,30])=[10, 20, 30, -30, -20, -10]"
Write a function to find if there is a triplet in the array whose sum is equal to a given value.,"find_triplet_array([1, 4, 45, 6, 10, 8], 6, 22) = (4, 10, 8)","find_triplet_array([12, 3, 5, 2, 6, 9], 6, 24) = (12, 3, 9)","find_triplet_array([1, 2, 3, 4, 5], 5, 9) = (1, 3, 5)"
Write a function to find the sequences of one upper case letter followed by lower case letters.,"text_uppercase_lowercase(""AaBbGg"")=('Found a match!')","text_uppercase_lowercase(""aA"")=('Not matched!')","text_uppercase_lowercase(""PYTHON"")=('Not matched!')"
Write a function to count coin change.,"coin_change([1, 2, 3],3,4)=4","coin_change([4,5,6,7,8,9],6,9)=2","coin_change([4,5,6,7,8,9],6,4)=1"
Write a Coq function to multiply all items in the list.,"multiply_list([1,-2,3]) = -6","multiply_list([1,2,3,4]) = 24","multiply_list([3,1,2,3]) = 18"
Write a function to remove all tuples with all none values in the given tuple list.,"remove_tuple([(None, 2), (None, None), (3, 4), (12, 3), (None, )] ) = '[(None, 2), (3, 4), (12, 3)]'","remove_tuple([(None, None), (None, None), (3, 6), (17, 3), (None,1 )] ) = '[(3, 6), (17, 3), (None, 1)]'","remove_tuple([(1, 2), (2, None), (3, None), (24, 3), (None, None )] ) = '[(1, 2), (2, None), (3, None), (24, 3)]'"
Write a function to perform chunking of tuples each of size n.,"chunk_tuples((10, 4, 5, 6, 7, 6, 8, 3, 4), 3) = [(10, 4, 5), (6, 7, 6), (8, 3, 4)]","chunk_tuples((1, 2, 3, 4, 5, 6, 7, 8, 9), 2) = [(1, 2), (3, 4), (5, 6), (7, 8), (9,)]","chunk_tuples((11, 14, 16, 17, 19, 21, 22, 25), 4) = [(11, 14, 16, 17), (19, 21, 22, 25)]"
Write a function to find a pair with the highest product from a given array of integers.,"max_product([1, 2, 3, 4, 7, 0, 8, 4])=(7, 8)","max_product([0, -1, -2, -4, 5, 0, -6])=(-4, -6)","max_product([1, 3, 5, 6, 8, 9])=(8,9)"
Write a function to find the length of the shortest string that has both str1 and str2 as subsequences.,"super_seq(""AGGTAB"", ""GXTXAYB"", 6, 7) = 9","super_seq(""feek"", ""eke"", 4, 3) = 5","super_seq(""PARRT"", ""RTA"", 5, 3) = 6"
Write a function to find maximum of two numbers.,"max_of_two(10,20)=20","max_of_two(19,15)=19","max_of_two(-10,-20)=-10"
Write a Coq function to calculate the product of all the numbers of a given tuple.,"mutiple_tuple((4, 3, 2, 2, -1, 18)) = -864","mutiple_tuple((1,2,3)) = 6","mutiple_tuple((-2,-4,-6)) = -48"
Write a function to find n-th rencontres number.,"rencontres_number(7, 2) = 924","rencontres_number(3, 0) = 2","rencontres_number(3, 1) = 3"
Write a function to calculate the height of the given binary tree.,(max_height(root)) = 3,(max_height(root1)) = 5 ,(max_height(root2)) = 4
Write a function to convert a date of yyyy-mm-dd format to dd-mm-yyyy format.,change_date_format('2026-01-02')='02-01-2026',change_date_format('2021-01-04')='04-01-2021',change_date_format('2030-06-06')='06-06-2030'
Write a function to count repeated items of a tuple.,"count_tuplex((2, 4, 5, 6, 2, 3, 4, 4, 7),4)=3","count_tuplex((2, 4, 5, 6, 2, 3, 4, 4, 7),2)=2","count_tuplex((2, 4, 7, 7, 7, 3, 4, 4, 7),7)=4"
Write a function that matches a string that has an a followed by zero or more b's by using regex.,"text_match(""msb"") = 'Not matched!'","text_match(""a0c"") = 'Found a match!'","text_match(""abbc"") = 'Found a match!'"
Write a function to calculate the sum of series 1³+2³+3³+….+n³.,sum_series(7)=784,sum_series(5)=225,sum_series(15)=14400
